City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,oral,51.2333,51.3667,46.45,74,61,9.46,KZ,1698883610
84,nemuro,43.3236,145.575,53.26,79,100,22.17,JP,1698883479
85,blackmans bay,-43.0167,147.3167,62.53,54,74,4.0,AU,1698883610
86,san fernando,15.0286,120.6898,82.13,89,96,6.31,PH,1698883611
87,wurselen,50.8167,6.1333,51.75,80,75,6.91,DE,1698883611
88,codrington,-38.2667,141.9667,58.66,61,91,10.87,AU,1698883501
89,alice springs,-23.7,133.8833,80.15,34,99,10.36,AU,1698883611
90,junction city,39.0286,-96.8314,47.39,50,0,6.91,US,1698883612
91,newtown,-33.8984,151.1775,71.04,58,75,19.57,AU,1698883612
92,braganca paulista,-22.94,-46.5556,62.24,89,95,9.66,BR,1698883612
93,nezhinka,51.7676,55.3694,39.36,100,74,2.24,RU,1698883612
94,almeirim,-1.5233,-52.5817,84.88,51,68,2.01,BR,1698883612
95,yellowknife,62.456,-114.3525,20.41,97,100,8.01,CA,1698883612
96,mount gambier,-37.8333,140.7667,60.33,54,44,7.72,AU,1698883331
97,st. john's,47.5649,-52.7093,41.9,92,100,19.57,CA,1698883540
98,hawaiian paradise park,19.5933,-154.9731,81.91,80,75,12.66,US,1698883613
99,tobruk,32.0836,23.9764,72.63,71,41,7.16,LY,1698883613
100,sungai penuh,-2.0833,101.3833,66.69,93,97,1.88,ID,1698883613
101,shimoda,34.6667,138.95,72.1,51,0,2.3,JP,1698883613
102,aasiaat,68.7098,-52.8699,31.26,68,86,13.22,GL,1698883613
103,hazorasp,41.3194,61.0742,39.04,43,35,9.22,UZ,1698883613
104,la passe,45.5549,-0.8967,57.43,77,100,35.25,FR,1698883487
105,dawson creek,55.7666,-120.2362,33.31,80,98,0.54,CA,1698883614
106,paradip garh,20.3167,86.6167,75.13,77,49,4.5,IN,1698883614
107,praia,14.9215,-23.5087,79.84,80,94,7.9,CV,1698883614
108,kitami,43.8031,143.8908,45.09,91,99,12.33,JP,1698883614
109,touros,-5.1989,-35.4608,78.6,84,20,10.76,BR,1698883409
110,timimoun,29.2639,0.231,81.07,15,36,7.0,DZ,1698883614
111,gamba,-2.65,10.0,76.98,90,100,2.73,GA,1698883615
112,shenjiamen,29.9576,122.298,71.67,69,0,13.56,CN,1698883615
113,vuktyl,63.8567,57.3094,11.1,99,90,1.01,RU,1698883615
114,port alfred,-33.5906,26.891,62.19,90,100,1.99,ZA,1698883615
115,manismata,-2.4667,111.0333,79.18,84,100,2.48,ID,1698883615
116,puerto deseado,-47.7503,-65.8938,53.51,40,0,22.44,AR,1698883615
117,qaqortoq,60.7167,-46.0333,32.86,100,100,4.9,GL,1698883616
118,badger,64.8,-147.5333,32.81,87,75,0.0,US,1698883616
